"","continent","country","(Intercept)","I(year - 1950)","sd"
"1","Africa","Algeria",42.2364149184149,0.56927972027972,1.32300638495764
"2","Africa","Angola",31.7079741258741,0.20933986013986,1.40700913536231
"3","Africa","Benin",38.9200470862471,0.334232867132867,1.17469098297291
"4","Africa","Botswana",52.8077783216784,0.0606685314685308,6.11217733062277
"5","Africa","Burkina Faso",33.9567426573427,0.363974825174825,2.0470914912203
"6","Africa","Burundi",40.2703724941725,0.154134265734266,1.61077783133225
"7","Africa","Cameroon",40.7491678321679,0.250146853146853,3.24321358997673
"8","Africa","Central African Republic",38.4417016317017,0.183905594405594,3.5245290331444
"9","Africa","Chad",39.3028836829837,0.253244055944055,1.83143948788529
"10","Africa","Comoros",39.0952181818182,0.450390909090909,0.478646837923903
"11","Africa","Congo, Dem. Rep.",41.7732461538462,0.0939153846153843,2.42948880742114
"12","Africa","Congo, Rep.",46.7465904428905,0.195095804195804,3.54650030457815
"13","Africa","Cote d'Ivoire",44.5847456876457,0.130556643356643,3.92559042624656
"14","Africa","Djibouti",35.5423468531469,0.367403496503496,1.12663171472729
"15","Africa","Egypt",39.8570909090909,0.555454545454545,1.03918556397
"16","Africa","Equatorial Guinea",33.8099664335664,0.310170629370629,0.328689810624535
"17","Africa","Eritrea",34.9458888111888,0.37469020979021,1.49672446219545
"18","Africa","Ethiopia",35.4137832167832,0.307185314685314,1.04743045015031
"19","Africa","Gabon",38.0418804195804,0.446732867132867,4.05410718763221
"20","Africa","Gambia",27.2367200466201,0.581825874125873,1.14756100157291
"21","Africa","Ghana",42.8492582750583,0.321742657342657,0.773291401182106
"22","Africa","Guinea",30.7073256410257,0.424830769230769,1.19589356892875
"23","Africa","Guinea-Bissau",31.1935321678322,0.271753146853147,0.643486627840695
"24","Africa","Kenya",46.5890230769231,0.206507692307692,4.38217412409025
"25","Africa","Lesotho",47.1878941724942,0.0955657342657339,5.93393350754046
"26","Africa","Liberia",39.6444356643357,0.0959937062937062,1.7728313543141
"27","Africa","Libya",40.8508645687646,0.625535664335664,1.53988573827618
"28","Africa","Madagascar",35.8606081585082,0.403727972027972,0.559654390625489
"29","Africa","Malawi",36.4419200466201,0.234225874125874,1.93315556857978
"30","Africa","Mali",32.2976111888112,0.37680979020979,0.481602601461276
"31","Africa","Mauritania",39.1327675990676,0.446417482517482,0.407532308413623
"32","Africa","Mauritius",54.6738615384616,0.348453846153846,1.74021417890486
"33","Africa","Morocco",41.6058878787879,0.542472727272727,0.75695487035726
"34","Africa","Mozambique",33.7571832167832,0.224485314685315,2.29172661936412
"35","Africa","Namibia",46.6720060606061,0.231163636363636,4.96080237400558
"36","Africa","Niger",34.4664484848485,0.34210909090909,2.18376761861725
"37","Africa","Nigeria",37.4433941724942,0.208065734265734,1.52001832946561
"38","Africa","Reunion",53.0777776223777,0.459880419580419,1.62951597504813
"39","Africa","Rwanda",42.8336116550117,-0.0458314685314688,6.55826947735801
"40","Africa","Sao Tome and Principe",47.8461990675991,0.340682517482517,1.39404990312431
"41","Africa","Senegal",35.7372666666667,0.504699999999999,0.932361258668909
"42","Africa","Sierra Leone",30.4551351981352,0.214034965034965,0.824449955790968
"43","Africa","Somalia",34.2162505827506,0.229573426573426,1.86312930689716
"44","Africa","South Africa",49.0029631701632,0.16915944055944,4.74435620274814
"45","Africa","Sudan",37.1086426573426,0.382774825174825,0.64407815785553
"46","Africa","Swaziland",46.1977093240093,0.0950748251748249,6.64409130657407
"47","Africa","Tanzania",42.759034032634,0.174688111888112,1.83462431880267
"48","Africa","Togo",40.2122769230769,0.382592307692307,2.33278151652617
"49","Africa","Tunisia",43.379620979021,0.587843356643356,1.55905632610629
"50","Africa","Uganda",44.0320459207459,0.121586013986014,3.18766831661272
"51","Africa","Zambia",47.778875990676,-0.0604251748251749,4.52871277959789
"52","Africa","Zimbabwe",55.4072855477856,-0.0930209790209793,7.20543069561591
"53","Americas","Argentina",62.2250191142191,0.231708391608391,0.292307186863136
"54","Americas","Bolivia",37.7565843822844,0.499932167832167,1.18444486859314
"55","Americas","Brazil",50.7318594405595,0.39008951048951,0.326235858949215
"56","Americas","Canada",68.4461076923077,0.21886923076923,0.249248292949942
"57","Americas","Chile",53.364017016317,0.476844055944055,1.19284298957807
"58","Americas","Colombia",52.6656146853147,0.380750349650349,1.31159915511802
"59","Americas","Costa Rica",58.2991261072261,0.40278951048951,1.51884879179298
"60","Americas","Cuba",61.571148018648,0.321150349650349,1.74064201097553
"61","Americas","Dominican Republic",47.6555027972028,0.471152447552447,1.5502206590058
"62","Americas","Ecuador",48.0652655011655,0.500053146853146,0.698854603530982
"63","Americas","El Salvador",45.5576662004662,0.477141258741258,1.94298570069371
"64","Americas","Guatemala",41.0568505827506,0.531273426573426,0.581178943372101
"65","Americas","Haiti",38.4520377622378,0.397058041958041,0.840765734690323
"66","Americas","Honduras",41.9067067599068,0.542851748251748,1.56428450395828
"67","Americas","Jamaica",62.2181983682984,0.221394405594405,2.05594361680418
"68","Americas","Mexico",52.1033018648019,0.451034965034965,1.04508297737726
"69","Americas","Nicaragua",41.9320890442891,0.55651958041958,0.598421406371565
"70","Americas","Panama",57.3525818181818,0.354209090909091,1.51703065079599
"71","Americas","Paraguay",62.1671242424243,0.157354545454545,0.391417619723876
"72","Americas","Peru",43.2922452214453,0.527697902097902,1.07740727679612
"73","Americas","Puerto Rico",66.527375990676,0.210574825174824,1.26871838486451
"74","Americas","Trinidad and Tobago",61.7049846153846,0.173661538461538,1.65198415432891
"75","Americas","United States",68.0455076923077,0.184169230769231,0.416133946630722
